numerai_ticker,iex_ticker
293 HK,00293-HK
4 HK,00004-HK
14 HK,00014-HK
200 HK,00200-HK
17 HK,00017-HK
303 HK,00303-HK
669 HK,00669-HK
3613 HK,03613-HK
1316 HK,01316-HK
636 HK,00636-HK
2638 HK,02638-HK
1381 HK,01381-HK
1310 HK,01310-HK
1 HK,00001-HK
1113 HK,01113-HK
MLCO US,MLCO
2138 HK,02138-HK
HCM US,HCM
1382 HK,01382-HK
656 HK,00656-HK
880 HK,00880-HK
1997 HK,01997-HK
1755 HK,01755-HK
FUTU US,FUTU
1876 HK,01876-HK
1128 HK,01128-HK
1928 HK,01928-HK
HPHT SP,NS8-SP
SSG SP,OV8-SP
SPH SP,T39-SP
CIT SP,C09-SP
SCI SP,U96-SP
RFMD SP,BSL-SP
UOB SP,U11-SP
UOL SP,U14-SP
VMS SP,V03-SP
STE SP,S63-SP
SATS SP,S58-SP
SIE SP,S59-SP
SGX SP,S68-SP
CAPL SP,C31-SP
AEM SP,AWX-SP
UMSH SP,558-SP
CD SP,C52-SP
SPOST SP,S08-SP
GGR SP,E5H-SP
DBS SP,D05-SP
SMM SP,S51-SP
JCNC SP,C07-SP
GENS SP,G13-SP
SIA SP,C6L-SP
FRKN SP,E28-SP
OCBC SP,O39-SP
WIL SP,F34-SP
UGHC SP,8K7-SP
STH SP,CC3-SP
KEP SP,BN4-SP
FR SP,EB5-SP
NETLINK SP,CJLU-SP
SE US,SE
NANO SP,MZH-SP
ICBP IJ,ICBP-IJ
TBIG IJ,TBIG-IJ
ERAA IJ,ERAA-IJ
BBCA IJ,BBCA-IJ
TLKM IJ,TLKM-IJ
BBRI IJ,BBRI-IJ
GGRM IJ,GGRM-IJ
AKRA IJ,AKRA-IJ
ANTM IJ,ANTM-IJ
KLBF IJ,KLBF-IJ
ASII IJ,ASII-IJ
CTRA IJ,CTRA-IJ
PTBA IJ,PTBA-IJ
PWON IJ,PWON-IJ
BRPT IJ,BRPT-IJ
UNTR IJ,UNTR-IJ
INDF IJ,INDF-IJ
CPIN IJ,CPIN-IJ
AALI IJ,AALI-IJ
LPPF IJ,LPPF-IJ
UNVR IJ,UNVR-IJ
SMGR IJ,SMGR-IJ
HMSP IJ,HMSP-IJ
INTP IJ,INTP-IJ
JPFA IJ,JPFA-IJ
SCMA IJ,SCMA-IJ
LSIP IJ,LSIP-IJ
BMRI IJ,BMRI-IJ
PGAS IJ,PGAS-IJ
BBNI IJ,BBNI-IJ
MIKA IJ,MIKA-IJ
MDKA IJ,MDKA-IJ
MNCN IJ,MNCN-IJ
JSMR IJ,JSMR-IJ
ACES IJ,ACES-IJ
ITMG IJ,ITMG-IJ
BSDE IJ,BSDE-IJ
ADRO IJ,ADRO-IJ
BTPS IJ,BTPS-IJ
TOWR IJ,TOWR-IJ
108320 KS,108320-KQ
128940 KS,128940-KP
122990 KS,122990-KQ
057050 KS,057050-KP
081660 KS,081660-KP
069080 KS,069080-KQ
119860 KS,119860-KQ
061970 KS,061970-KQ
