numerai_ticker,iex_ticker
CCC PW,CCC-PW
OPL PW,OPL-PW
ACP PW,ACP-PW
MBK PW,MBK-PW
MIL PW,MIL-PW
SPL PW,SPL-PW
KGH PW,KGH-PW
PKN PW,PKN-PW
LPP PW,LPP-PW
PEO PW,PEO-PW
ALR PW,ALR-PW
LTS PW,LTS-PW
PGN PW,PGN-PW
LVC PW,LVC-PW
DNP PW,DNP-PW
CPS PW,CPS-PW
ENA PW,ENA-PW
TEN PW,TEN-PW
PGE PW,PGE-PW
LHC SJ,
RBP SJ,
MTM SJ,
NPN SJ,NPN-AJ
NED SJ,
NTC SJ,
SBK SJ,SBK-AJ
SPP SJ,
LBH SJ,
WHL SJ,
DSY SJ,
APN SJ,APN-AJ
TKG SJ,
ABG SJ,
SPG SJ,
AVI SJ,AVI-AJ
ARI SJ,ARI-AJ
MSM SJ,
REM SJ,
MTN SJ,
ANG SJ,
SAP SJ,
SOL SJ,SOL-AJ
TBS SJ,
MRP SJ,MRP-AJ
TFG SJ,
NHM SJ,
BVT SJ,
CLS SJ,
EXX SJ,
PIK SJ,
SHP SJ,
HAR SJ,
CPI SJ,
AMS SJ,
BAW SJ,
TRU SJ,
GFI SJ,
FSR SJ,
TCP SJ,TCP-AJ
IPL SJ,
IMP SJ,
KIO SJ,
BID SJ,
DCP SJ,
NRP SJ,NRP-AJ
PPH SJ,
VOD SJ,
DGH SJ,
OMU SJ,
MTH SJ,
MCG SJ,
CCOLA TI,CCOLA-TI
AGHOL TI,AGHOL-TI
KCHOL TI,KCHOL-TI
FROTO TI,FROTO-TI
ENKAI TI,ENKAI-TI
TCELL TI,TCELL-TI
AKBNK TI,AKBNK-TI
GARAN TI,GARAN-TI
BIMAS TI,BIMAS-TI
TOASO TI,TOASO-TI
ISCTR TI,ISCTR-TI
TSKB TI,TSKB-TI
YKBNK TI,YKBNK-TI
SISE TI,SISE-TI
AEFES TI,AEFES-TI
TUPRS TI,TUPRS-TI
THYAO TI,THYAO-TI
OTKAR TI,OTKAR-TI
SAHOL TI,SAHOL-TI
ARCLK TI,ARCLK-TI
AYGAZ TI,AYGAZ-TI
EREGL TI,EREGL-TI
KORDS TI,KORDS-TI
LOGO TI,LOGO-TI
TTRAK TI,TTRAK-TI
ULKER TI,ULKER-TI
YATAS TI,YATAS-TI
VAKBN TI,VAKBN-TI
SELEC TI,SELEC-TI
ASELS TI,ASELS-TI
TAVHL TI,TAVHL-TI
MAVI TI,MAVI-TI
TTKOM TI,TTKOM-TI
ENJSA TI,ENJSA-TI
MPARK TI,MPARK-TI
SOKM TI,SOKM-TI
MGROS TI,MGROS-TI
KOZAL TI,KOZAL-TI
WIE AV,WIE-AV
EVN AV,EVN-AV
UQA AV,UQA-AV
LNZ AV,LNZ-AV
VOE AV,VOE-AV
OMV AV,OMV-AV
VER AV,VER-AV
EBS AV,EBS-AV
IIA AV,IIA-AV
SPI AV,SPI-AV
CAI AV,CAI-AV
SBO AV,SBO-AV
RBI AV,RBI-AV
VIG AV,VIG-AV
POST AV,POST-AV
ANDR AV,ANDR-AV
ATS AV,ATS-AV
BG AV,BG-AV
PROX BB,PROX-BB
EURN BB,EURN-BB
REC BB,REC-BB
BAR BB,BAR-BB
BEKB BB,BEKB-BB
UMI BB,UMI-BB
DIE BB,DIE-BB
MELE BB,MELE-BB
SOF BB,SOF-BB
SOLB BB,SOLB-BB
KIN BB,KIN-BB
UCB BB,UCB-BB
ACKB BB,ACKB-BB
COLR BB,COLR-BB
KBC BB,KBC-BB
GBLB BB,GBLB-BB
AGS BB,AGS-BB
GLPG NA,GLPG-NA
ELI BB,ELI-BB
TNET BB,TNET-BB
BPOST BB,BPOST-BB
ONTEX BB,ONTEX-BB
MTLS US,MTLS
MITRA BB,MITRA-BB
ABI BB,ABI-BB
VGP BB,VGP-BB
SHUR BB,SHUR-BB
CHR DC,CHR-DC
PNDORA DC,PNDORA-DC
JYSK DC,JYSK-DC
HH DC,HH-DC
BAVA DC,BAVA-DC
ROCKB DC,ROCK B-DC
DEMANT DC,DEMANT-DC
VWS DC,VWS-DC
MAERSKB DC,MAERSK B-DC
BO DC,BO-DC
CARLB DC,CARL B-DC
GN DC,GN-DC
AMBUB DC,AMBU B-DC
DANSKE DC,DANSKE-DC
GMAB DC,GMAB-DC
NZYMB DC,NZYM B-DC
RBREW DC,RBREW-DC
PAALB DC,PAAL B-DC
FLS DC,FLS-DC
TOP DC,TOP-DC
SIM DC,SIM-DC
NOVOB DC,NOVO B-DC
LUN DC,LUN-DC
NKT DC,NKT-DC
COLOB DC,COLO B-DC
SYDB DC,SYDB-DC
TRYG DC,TRYG-DC
MATAS DC,MATAS-DC
ZEAL DC,ZEAL-DC
ALKB DC,ALK B-DC
ISS DC,ISS-DC
RILBA DC,RILBA-DC
SPNO DC,SPNO-DC
ASND US,ASND
STG DC,STG-DC
ORSTED DC,ORSTED-DC
DSV DC,DSV-DC
NLFSK DC,NLFSK-DC
NETC DC,NETC-DC
DRLCO DC,DRLCO-DC
ELISA FH,ELISA-FH
NOKIA FH,NOKIA-FH
FORTUM FH,FORTUM-FH
KEMIRA FH,KEMIRA-FH
WRT1V FH,WRT1V-FH
SAMPO FH,SAMPO-FH
UPONOR FH,UPONOR-FH
KESKOB FH,KESKOB-FH
CTY1S FH,CTY1S-FH
UPM FH,UPM-FH
TYRES FH,TYRES-FH
OUT1V FH,OUT1V-FH
HUH1V FH,HUH1V-FH
METSB FH,METSB-FH
STERV FH,STERV-FH
TIETO FH,TIETO-FH
NESTE FH,NESTE-FH
KNEBV FH,KNEBV-FH
CGCBV FH,CGCBV-FH
VALMT FH,VALMT-FH
KCR FH,KCR-FH
YIT FH,YIT-FH
ORNBV FH,ORNBV-FH
TOKMAN FH,TOKMAN-FH
QTCOM FH,QTCOM-FH
ROVIO FH,ROVIO-FH
KOJAMO FH,KOJAMO-FH
MUSTI FH,MUSTI-FH
NELES FH,NELES-FH
MOCORP FH,MOCORP-FH
EDEN FP,EDEN-FP
NK FP,NK-FP
VLA FP,VLA-FP
BIM FP,BIM-FP
NXI FP,NXI-FP
PUB FP,PUB-FP
EO FP,EO-FP
ORA FP,ORA-FP
RUI FP,RUI-FP
FR FP,FR-FP
CRI FP,CRI-FP
RF FP,RF-FP
AC FP,AC-FP
DSY FP,DSY-FP
CNP FP,CNP-FP
MMT FP,MMT-FP
TFI FP,TFI-FP
TEP FP,TEP-FP
GLE FP,GLE-FP
DBG FP,DBG-FP
TRI FP,TRI-FP
SU FP,SU-FP
VIV FP,VIV-FP
EN FP,EN-FP
CGG FP,CGG-FP
DIM FP,DIM-FP
SK FP,SK-FP
ORP FP,ORP-FP
SGO FP,SGO-FP
MF FP,MF-FP
SOP FP,SOP-FP
CA FP,CA-FP
ATO FP,ATO-FP
VCT FP,VCT-FP
AIR FP,AIR-FP
ERA FP,ERA-FP
VIE FP,VIE-FP
OR FP,OR-FP
AM FP,AM-FP
HO FP,HO-FP
CAP FP,CAP-FP
CO FP,CO-FP
ITP FP,ITP-FP
ILD FP,ILD-FP
BOL FP,BOL-FP
POM FP,POM-FP
MMB FP,MMB-FP
RI FP,RI-FP
BB FP,BB-FP
RMS FP,RMS-FP
MRN FP,MRN-FP
RXL FP,RXL-FP
KER FP,KER-FP
ATE FP,ATE-FP
QDT FP,QDT-FP
EL FP,EL-FP
ACA FP,ACA-FP
VIRP FP,VIRP-FP
SW FP,SW-FP
CS FP,CS-FP
NEX FP,NEX-FP
DEC FP,DEC-FP
BEN FP,BEN-FP
BNP FP,BNP-FP
MC FP,MC-FP
SOI FP,SOI-FP
ML FP,ML-FP
RNO FP,RNO-FP
RCO FP,RCO-FP
SAN FP,SAN-FP
SAF FP,SAF-FP
ENGI FP,ENGI-FP
ALO FP,ALO-FP
FNAC FP,FNAC-FP
ETL FP,ETL-FP
EDF FP,EDF-FP
CRTO US,CRTO
IPN FP,IPN-FP
TKTT FP,TKTT-FP
GTT FP,GTT-FP
ELIOR FP,ELIOR-FP
WLN FP,WLN-FP
COFA FP,COFA-FP
VLTSA FP,VLTSA-FP
KOF FP,KOF-FP
FGR FP,FGR-FP
AKE FP,AKE-FP
TTE FP,TTE-FP
ADP FP,ADP-FP
IPS FP,IPS-FP
ABIO FP,ABIO-FP
VK FP,VK-FP
ELIS FP,ELIS-FP
KORI FP,KORI-FP
SPIE FP,SPIE-FP
EUCAR FP,EUCAR-FP
UBI FP,UBI-FP
SCR FP,SCR-FP
ALCLS FP,ALCLS-FP
AMUN FP,AMUN-FP
AKA FP,AKA-FP
MDM FP,MDM-FP
DG FP,DG-FP
BN FP,BN-FP
AI FP,AI-FP
BVI FP,BVI-FP
GET FP,GET-FP
XFAB FP,XFAB-FP
ALD FP,ALD-FP
SEV FP,SEV-FP
SMCP FP,SMCP-FP
LR FP,LR-FP
NEOEN FP,NEOEN-FP
VRLA FP,VRLA-FP
FDJ FP,FDJ-FP
BNR GR,BNR-GY
SAX GR,SAX-GY
NOEJ GR,NOEJ-GY
SMHN GR,SMHN-GY
BOSS GR,BOSS-GY
TLX GR,TLX-GY
O2D GR,O2D-GY
GYC GR,GYC-GY
LEG GR,LEG-GY
EVK GR,EVK-GY
KGX GR,KGX-GY
VNA GR,VNA-GY
DIC GR,DIC-GY
STM GR,STM-GY
ZAL GR,ZAL-GY
HLE GR,HLE-GY
WAF GR,WAF-GY
ADJ GR,ADJ-GY
PBB GR,PBB-GY
SBS GR,SBS-GY
G24 GR,G24-GY
1COV GR,1COV-GY
SHA GR,SHA-GY
HBH GR,HBH-GY
CCAP GR,CCAP-GY
HLAG GR,HLAG-GY
ADS GR,ADS-GY
CBK GR,CBK-GY
FRE GR,FRE-GY
UTDI GR,UTDI-GY
FIE GR,FIE-GY
HNR1 GR,HNR1-GY
G1A GR,G1A-GY
DEZ GR,DEZ-GY
PSM GR,PSM-GY
CON GR,CON-GY
DPW GR,DPW-GY
BVB GR,BVB-GY
MRK GR,MRK-GY
DEQ GR,DEQ-GY
RWE GR,RWE-GY
SGL GR,SGL-GY
SAP GR,SAP-GY
EOAN GR,EOAN-GY
CEC GR,CEC-GY
PUM GR,PUM-GY
BAYN GR,BAYN-GY
BAS GR,BAS-GY
BEI GR,BEI-GY
HOT GR,HOT-GY
GBF GR,GBF-GY
DUE GR,DUE-GY
HEI GR,HEI-GY
FME GR,FME-GY
ZIL2 GR,ZIL2-GY
ALV GR,ALV-GY
SIX2 GR,SIX2-GY
LHA GR,LHA-GY
MUV2 GR,MUV2-GY
RHM GR,RHM-GY
HDD GR,HDD-GY
SZG GR,SZG-GY
AIXA GR,AIXA-GY
JEN GR,JEN-GY
VOW GR,VOW-GY
KRN GR,KRN-GY
DAI GR,DAI-GY
MOR GR,MOR-GY
JUN3 GR,JUN3-GY
NEM GR,NEM-GY
ADV GR,ADV-GY
TPE GR,TPE-GY
GFT GR,GFT-GY
SIE GR,SIE-GY
DBK GR,DBK-GY
BMW GR,BMW-GY
SDF GR,SDF-GY
TTK GR,TTK-GY
COK GR,COK-GY
LEO GR,LEO-GY
SZU GR,SZU-GY
VAR1 GR,VAR1-GY
EVT GR,EVT-GY
DTE GR,DTE-GY
SRT3 GR,SRT3-GY
EVD GR,EVD-GY
IFX GR,IFX-GY
RAA GR,RAA-GY
AFX GR,AFX-GY
AOF GR,AOF-GY
BC8 GR,BC8-GY
DLG GR,DLG-GY
DB1 GR,DB1-GY
FRA GR,FRA-GY
ARL GR,ARL-GY
LXS GR,LXS-GY
NDX1 GR,NDX1-GY
MTX GR,MTX-GY
DWNI GR,DWNI-GY
WCH GR,WCH-GY
KCO GR,KCO-GY
CE2 GR,CE2-GY
VBK GR,VBK-GY
SY1 GR,SY1-GY
F3C GR,F3C-GY
AR4 GR,AR4-GY
NB2 GR,NB2-GY
UN01 GR,UN01-GY
SAE GR,SAE-GY
FTK GR,FTK-GY
DHER GR,DHER-GY
COP GR,COP-GY
WAC GR,WAC-GY
FNTN GR,FNTN-GY
GXI GR,GXI-GY
ST5 GR,ST5-GY
SFQ GR,SFQ-GY
HHFA GR,HHFA-GY
HYQ GR,HYQ-GY
ZO1 GR,ZO1-GY
S92 GR,S92-GY
B4B GR,B4B-GY
AT1 GR,AT1-GY
SOW GR,SOW-GY
HFG GR,HFG-GY
BFSA GR,BFSA-GY
1U1 GR,1U1-GY
DMP GR,DMP-GY
INS GR,INS-GY
SHL GR,SHL-GY
DWS GR,DWS-GY
KBX GR,KBX-GY
ECV GR,ECV-GY
JMIA US,JMIA
8TRA GR,8TRA-GY
TMV GR,TMV-GY
BNTX US,BNTX
HAG GR,HAG-GY
KYGA ID,KRZ-ID
FLTR ID,FLTR-ID
GLB ID,GL9-ID
CRH ID,CRG-ID
KSP ID,KRX-ID
DHG ID,DHG-ID
RYA ID,RY4C-ID
SKG ID,SK3-ID
BIRG ID,BIRG-ID
GVR ID,GVR-ID
AIBG ID,A5G-ID
UPR ID,UPR-ID
AZRG IT,AZRG-IT
FIBI IT,FIBI-IT
ICL IT,ICL-IT
MZTF IT,MZTF-IT
PTNR IT,PTNR-IT
MLSR IT,MLSR-IT
POLI IT,POLI-IT
LUMI IT,LUMI-IT
STRS IT,STRS-IT
BEZQ IT,BEZQ-IT
DSCT IT,DSCT-IT
NICE IT,NICE-IT
SAE IT,SAE-IT
RDHL US,RDHL
TEVA US,TEVA
RMLI IT,RMLI-IT
SFER IM,SFER-IM
BC IM,BC-IM
TRN IM,TRN-IM
AZM IM,AZM-IM
SRS IM,SRS-IM
ERG IM,ERG-IM
UCG IM,UCG-IM
IRE IM,IRE-IM
REY IM,REY-IM
MS IM,MS-IM
UNI IM,UNI-IM
US IM,US-IM
G IM,G-IM
BPSO IM,BPSO-IM
BPE IM,BPE-IM
ISP IM,ISP-IM
BRE IM,BRE-IM
MB IM,MB-IM
CASS IM,CASS-IM
DLG IM,DLG-IM
PRT IM,PRT-IM
HER IM,HER-IM
TOD IM,TOD-IM
IP IM,IP-IM
AGL IM,AGL-IM
A2A IM,A2A-IM
ACE IM,ACE-IM
BZU IM,BZU-IM
IF IM,IF-IM
SRG IM,SRG-IM
TIT IM,TIT-IM
ATL IM,ATL-IM
CE IM,CE-IM
ENEL IM,ENEL-IM
ENI IM,ENI-IM
CEM IM,CEM-IM
TEN IM,TEN-IM
WBD IM,WBD-IM
REC IM,REC-IM
CPR IM,CPR-IM
MARR IM,MARR-IM
LDO IM,LDO-IM
SES IM,SES-IM
TIP IM,TIP-IM
SFL IM,SFL-IM
MONC IM,MONC-IM
ANIM IM,ANIM-IM
FBK IM,FBK-IM
CERV IM,CERV-IM
TNXT IM,TNXT-IM
AMP IM,AMP-IM
PIA IM,PIA-IM
RWAY IM,RWAY-IM
OVS IM,OVS-IM
BGN IM,BGN-IM
INW IM,INW-IM
PST IM,PST-IM
BMED IM,BMED-IM
TGYM IM,TGYM-IM
PRY IM,PRY-IM
DIA IM,DIA-IM
ENAV IM,ENAV-IM
IG IM,IG-IM
MT IM,MT-IM
EXO IM,EXO-IM
BAMI IM,BAMI-IM
BFF IM,BFF-IM
DOV IM,DOV-IM
DIB IM,DIB-IM
FILA IM,FILA-IM
PIRC IM,PIRC-IM
NEXI IM,NEXI-IM
SL IM,SL-IM
STLA IM,STLA-IM
ACCEL NA,ACCEL-NA
KPN NA,KPN-NA
BESI NA,BESI-NA
RAND NA,RAND-NA
PHIA NA,PHIA-NA
HEIO NA,HEIO-NA
HEIA NA,HEIA-NA
ASM NA,ASM-NA
WKL NA,WKL-NA
ORDI NA,ORDI-NA
PNL NA,PNL-NA
ARCAD NA,ARCAD-NA
CRBN NA,CRBN-NA
VPK NA,VPK-NA
AGN NA,AGN-NA
ASML NA,ASML-NA
AD NA,AD-NA
AKZA NA,AKZA-NA
SBMO NA,SBMO-NA
TOM2 NA,TOM2-NA
OCI NA,OCI-NA
DSM NA,DSM-NA
IMCD NA,IMCD-NA
NN NA,NN-NA
BAMNB NA,BAMNB-NA
GVNV NA,GVNV-NA
FLOW NA,FLOW-NA
INTER NA,INTER-NA
ABN NA,ABN-NA
SLIGR NA,SLIGR-NA
LIGHT NA,LIGHT-NA
AALB NA,AALB-NA
TWEKA NA,TWEKA-NA
BOKA NA,BOKA-NA
BFIT NA,BFIT-NA
ASRNL NA,ASRNL-NA
AMG NA,AMG-NA
INGA NA,INGA-NA
TKWY NA,TKWY-NA
ALFEN NA,ALFEN-NA
ADYEN NA,ADYEN-NA
PRX NA,PRX-NA
CMCOM NA,CMCOM-NA
JDEP NA,JDEP-NA
GJF NO,GJF-NO
NRS NO,NRS-NO
NANO NO,NANO-NO
NOD NO,NOD-NO
NEL NO,NEL-NO
AKER NO,AKER-NO
ACR NO,ACR-NO
MOWI NO,MOWI-NO
KOG NO,KOG-NO
LSG NO,LSG-NO
SRBNK NO,SRBNK-NO
STB NO,STB-NO
SCHA NO,SCHA-NO
YAR NO,YAR-NO
TOM NO,TOM-NO
TEL NO,TEL-NO
SUBC NO,SUBC-NO
EQNR NO,EQNR-NO
BRG NO,BRG-NO
MING NO,MING-NO
ODL NO,ODL-NO
AVANCE NO,AVANCE-NO
BWO NO,BWO-NO
AKSO NO,AKSO-NO
NHY NO,NHY-NO
SCATC NO,SCATC-NO
XXL NO,XXL-NO
ENTRA NO,ENTRA-NO
ATEA NO,ATEA-NO
AUSS NO,AUSS-NO
TGS NO,TGS-NO
DNO NO,DNO-NO
EPR NO,EPR-NO
PGS NO,PGS-NO
SBANK NO,SBANK-NO
ORK NO,ORK-NO
SALM NO,SALM-NO
GSF NO,GSF-NO
FLNG NO,FLNG-NO
ASA NO,ASA-NO
ELK NO,ELK-NO
ADE NO,ADE-NO
AKRBP NO,AKRBP-NO
NVG PL,NVG-PL
SON PL,SON-PL
NOS PL,NOS-PL
BCP PL,BCP-PL
EDP PL,
CTT PL,CTT-PL
ALTR PL,ALTR-PL
GALP PL,GALP-PL
JMT PL,JMT-PL
RENE PL,RENE-PL
EDPR PL,
AMS SM,AMS-SN
GRF SM,GRF-SA
TL5 SM,TL5-SA
ACX SM,ACX-SA
FER SM,FER-SA
ANA SM,ANA-SA
CAF SM,CAF-SA
ENG SM,ENG-SA
VIS SM,VIS-SA
NTGY SM,NTGY-SA
IDR SM,IDR-SA
REP SM,REP-SA
ELE SM,ELE-SA
EBRO SM,EBRO-SA
BKT SM,BKT-SA
SCYR SM,SCYR-SA
FAE SM,FAE-SA
ZOT SM,ZOT-SA
REE SM,REE-SA
MEL SM,MEL-SA
FCC SM,FCC-SA
ITX SM,ITX-SA
PSG SM,PSG-SA
BBVA SM,BBVA-SA
SAN SM,SAN-SA
TEF SM,TEF-SA
ACS SM,ACS-SA
EDR SM,EDR-SA
APPS SM,APPS-SN
LOG SM,LOG-SA
CIE SM,CIE-SA
TRE SM,TRE-SA
AENA SM,AENA-SA
CLNX SM,CLNX-SA
MAP SM,MAP-SA
GRE SM,GRE-SA
PHM SM,PHM-SA
ENC SM,ENC-SA
SAB SM,SAB-SA
SLR SM,SLR-SA
ALM SM,ALM-SA
UNI SM,UNI-SA
IBE SM,IBE-SA
CABK SM,CABK-SA
FDR SM,FDR-SN
GEST SM,GEST-SA
SGRE SM,SGRE-SA
SPK SM,SPK-SA
CLASB SS,CLAS B-SS
TRELB SS,TREL B-SS
HMB SS,HM B-SS
ASSAB SS,ASSA B-SS
SHBA SS,SHB A-SS
LUNDB SS,LUND B-SS
WALLB SS,WALL B-SS
SECUB SS,SECU B-SS
ERICB SS,ERIC B-SS
HUFVA SS,HUFV A-SS
SWEDA SS,SWED A-SS
INTRUM SS,INTRUM-SS
HOLMB SS,HOLM B-SS
TELIA SS,TELIA-SS
EKTAB SS,EKTA B-SS
PEABB SS,PEAB B-SS
AZA SS,AZA-SS
NOLAB SS,NOLA B-SS
SWMA SS,SWMA-SS
TEL2B SS,TEL2 B-SS
VITR SS,VITR-SS
LUNE SS,LUNE-SS
NCCB SS,NCC B-SS
SEBA SS,SEB A-SS
MYCR SS,MYCR-SS
SAABB SS,SAAB B-SS
BIOGB SS,BIOG B-SS
BALDB SS,BALD B-SS
AXFO SS,AXFO-SS
BILL SS,BILL-SS
GETIB SS,GETI B-SS
SAS SS,SAS-SS
SKAB SS,SKA B-SS
ALFA SS,ALFA-SS
AAK SS,AAK-SS
INDT SS,INDT-SS
ICA SS,ICA-SS
STORYB SS,STORY B-SS
SCST SS,SCST-SS
HUSQB SS,HUSQ B-SS
CATE SS,CATE-SS
CAST SS,CAST-SS
AFB SS,AF B-SS
KLED SS,KLED-SS
INWI SS,INWI-SS
WIHL SS,WIHL-SS
GRNG SS,GRNG-SS
THULE SS,THULE-SS
NIBEB SS,NIBE B-SS
LIFCOB SS,LIFCO B-SS
JM SS,JM-SS
SSABA SS,SSAB A-SS
MTGB SS,MTG B-SS
PCELL SS,PCELL-SS
HOFI SS,HOFI-SS
EVO SS,EVO-SS
SOBI SS,SOBI-SS
KINDSDB SS,
LIAB SS,LIAB-SS
COOR SS,COOR-SS
PNDXB SS,PNDX B-SS
NOBINA SS,NOBINA-SS
ELUXB SS,ELUX B-SS
BRAV SS,BRAV-SS
DOM SS,DOM-SS
ATT SS,ATT-SS
CAMX SS,CAMX-SS
BONAVB SS,BONAV B-SS
LEO SS,LEO-SS
RESURS SS,RESURS-SS
SAND SS,SAND-SS
ATCOA SS,ATCO A-SS
SCAB SS,SCA B-SS
SKFB SS,SKF B-SS
VOLVB SS,VOLV B-SS
NOBI SS,NOBI-SS
BOL SS,BOL-SS
HEXAB SS,HEXA B-SS
PDX SS,PDX-SS
FABG SS,FABG-SS
LATOB SS,LATO B-SS
ACAD SS,ACAD-SS
HNSA SS,HNSA-SS
HMS SS,HMS-SS
EMBRACB SS,EMBRAC B-SS
ONCO SS,ONCO-SS
SDIPB SS,SDIP B-SS
INSTAL SS,INSTAL-SS
MTRS SS,MTRS-SS
ESSITYB SS,ESSITY B-SS
MCOVB SS,MCOV B-SS
BOOZT SS,BOOZT-SS
HPOLB SS,HPOL B-SS
LOOMIS SS,LOOMIS-SS
SBBB SS,SBB B-SS
BIOAB SS,BIOA B-SS
ARJOB SS,ARJO B-SS
BHG SS,BHG-SS
SF SS,SF-SS
NYF SS,NYF-SS
NENTB SS,NENT B-SS
INDUC SS,INDU C-SS
EQT SS,EQT-SS
EPROB SS,EPRO B-SS
SWECB NA,
AUTN SW,AUTN-SE
DKSH SW,DKSH-SE
BKW SW,BKW-SE
BSLN SW,BSLN-SE
KARN SW,KARN-SE
PSPN SW,PSPN-SE
GUR SW,GUR-SE
INRN SW,INRN-SE
EMMN SW,EMMN-SE
FI-N SW,FI-N-SE
DOKA SW,DOKA-SE
SCMN SW,SCMN-SE
COTN SW,COTN-SE
RIEN SW,RIEN-SE
LISN SW,LISN-SE
SUN SW,SUN-SE
KOMN SW,KOMN-SE
GIVN SW,GIVN-SE
SWTQ SW,SWTQ-SE
BEAN SW,BEAN-SE
VALN SW,VALN-SE
BYS SW,BYS-SE
BANB SW,BANB-SE
SOON SW,SOON-SE
STMN SW,STMN-SE
UHR SW,UHR-SE
HELN SW,HELN-SE
OERL SW,OERL-SE
IFCN SW,IFCN-SE
SGSN SW,SGSN-SE
BARN SW,BARN-SE
ALLN SW,ALLN-SE
SPSN SW,SPSN-SE
FHZN SW,FHZN-SE
BOBNN SW,BOBNN-SE
SFZN SW,SFZN-SE
SLHN SW,SLHN-SE
EMSN SW,EMSN-SE
NOVN SW,NOVN-SE
ABBN SW,ABBN-SE
ROG SW,ROG-SE
HOLN SW,HOLN-SE
TECN SW,TECN-SE
CLN SW,CLN-SE
VONN SW,VONN-SE
BALN SW,BALN-SE
ARBN SW,ARBN-SE
HUBN SW,HUBN-SE
TEMN SW,TEMN-SE
LONN SW,LONN-SE
VATN SW,VATN-SE
VIFN SW,VIFN-SE
ZURN SW,ZURN-SE
ADEN SW,ADEN-SE
NESN SW,NESN-SE
CSGN SW,CSGN-SE
BUCN SW,BUCN-SE
LEON SW,LEON-SE
ALSN SW,ALSN-SE
MOBN SW,MOBN-SE
LEHN SW,LEHN-SE
CFR SW,CFR-SE
CMBN SW,CMBN-SE
DUFN SW,DUFN-SE
SFSN SW,SFSN-SE
BOSN SW,BOSN-SE
PGHN SW,PGHN-SE
SCHN SW,SCHN-SE
KNIN SW,KNIN-SE
UBSG SW,UBSG-SE
MOLN SW,MOLN-SE
BCHN SW,BCHN-SE
LOGN SW,LOGN-SE
ZEHN SW,ZEHN-SE
VACN SW,VACN-SE
GEBN SW,GEBN-SE
SQN SW,SQN-SE
DAE SW,DAE-SE
UBXN SW,UBXN-SE
ROSE SW,ROSE-SE
GALE SW,GALE-SE
IDIA SW,IDIA-SE
ARYN SW,ARYN-SE
LAND SW,LAND-SE
SENS SW,SENS-SE
SIKA SW,SIKA-SE
SIGN SW,SIGN-SE
ALC SW,ALC-SE
SRAIL SW,SRAIL-SE
SREN SW,SREN-SE
SWON SW,SWON-SE
BAER SW,BAER-SE
FORN SW,FORN-SE
MBTN SW,MBTN-SE
SDRY LN,SDRY-LN
ENT LN,ENT-LN
JUP LN,JUP-LN
OCDO LN,OCDO-LN
IAG LN,IAG-LN
GLEN LN,GLEN-LN
CEY LN,CEY-LN
CNA LN,CNA-LN
MSLH LN,MSLH-LN
HFD LN,HFD-LN
RDSB LN,RDSB-LN
PFD LN,PFD-LN
SBRY LN,SBRY-LN
GKP LN,GKP-LN
ADM LN,ADM-LN
GRI LN,GRI-LN
CHG LN,CHG-LN
CKN LN,CKN-LN
GNS LN,GNS-LN
RAT LN,RAT-LN
AV/ LN,AV.-LN
CWK LN,CWK-LN
CRDA LN,CRDA-LN
FUTR LN,FUTR-LN
RDW LN,RDW-LN
SMP LN,SMP-LN
RSW LN,RSW-LN
RTO LN,RTO-LN
ROR LN,ROR-LN
NWG LN,NWG-LN
ANTO LN,ANTO-LN
AHT LN,AHT-LN
AVON LN,AVON-LN
BDEV LN,BDEV-LN
BWY LN,BWY-LN
GAW LN,GAW-LN
GOG LN,GOG-LN
HLMA LN,HLMA-LN
HAS LN,HAS-LN
DMGT LN,DMGT-LN
WEIR LN,WEIR-LN
DPH LN,DPH-LN
BAB LN,BAB-LN
SYNT LN,SYNT-LN
AZN LN,AZN-LN
CBG LN,CBG-LN
STJ LN,STJ-LN
TPK LN,TPK-LN
SSE LN,SSE-LN
SNR LN,SNR-LN
SRP LN,SRP-LN
BP/ LN,BP.-LN
SGE LN,SGE-LN
SHI LN,SHI-LN
MGNS LN,MGNS-LN
SMDS LN,SMDS-LN
NXT LN,NXT-LN
COA LN,COA-LN
RR/ LN,RR.-LN
BNZL LN,BNZL-LN
JDW LN,JDW-LN
EZJ LN,EZJ-LN
BRW LN,BRW-LN
DPLM LN,DPLM-LN
VTY LN,VTY-LN
PRU LN,PRU-LN
BATS LN,BATS-LN
ECM LN,ECM-LN
SPX LN,SPX-LN
LLOY LN,LLOY-LN
TATE LN,TATE-LN
TW/ LN,TW.-LN
TEP LN,TEP-LN
TSCO LN,TSCO-LN
WG/ LN,WG.-LN
ITRK LN,ITRK-LN
BRBY LN,BRBY-LN
BBY LN,BBY-LN
AGK LN,AGK-LN
TLW LN,TLW-LN
HILS LN,HILS-LN
IMB LN,IMB-LN
ICP LN,ICP-LN
IMI LN,IMI-LN
PAGE LN,PAGE-LN
ITV LN,ITV-LN
HSV LN,HSV-LN
DGE LN,DGE-LN
SDR LN,SDR-LN
ELM LN,ELM-LN
HYVE LN,HYVE-LN
BA/ LN,BA.-LN
SXS LN,SXS-LN
FGP LN,FGP-LN
MTO LN,MTO-LN
JMAT LN,JMAT-LN
JD/ LN,JD.-LN
KLR LN,KLR-LN
KIE LN,KIE-LN
CPG LN,CPG-LN
HWDN LN,HWDN-LN
LGEN LN,LGEN-LN
OXB LN,OXB-LN
